CandidateName,OType,Magnitude,RA,Dec,MajorAxis
Antlia Dwarf Galaxy,Galaxy,15.17,151.0162,-27.3336,2.0
UGC 5464,Galaxy,15.47,152.0321331751,29.54287224543,1.35
NGC 3189,Galaxy in Pair of Galaxies,11.15,154.523513,21.831939,3.63
NGC 3185,Galaxy in Pair of Galaxies,12.17,154.41068769633,21.68821494923,1.567
NGC 3193,Galaxy in Pair of Galaxies,10.88,154.603683,21.893978,1.847
NGC 3187,Galaxy in Pair of Galaxies,13.44,154.44945982136,21.87332890702,1.263
NGC 3169,Galaxy in Pair of Galaxies,12.41,153.56265808928,3.46609489996,4.47
Sex A,HII Galaxy,11.93,152.7521,-4.6917,5.9
NGC 3254,Seyfert 2 Galaxy,11.6,157.333008,29.491439,4.68
NGC 3226,Galaxy in Pair of Galaxies,13.33,155.86252669805,19.89852081595,2.95
NGC 3227,Galaxy in Pair of Galaxies,11.79,155.87740214554,19.86507839075,4.27
NGC 3319,Seyfert Galaxy,11.07,159.789721,41.686872,5.25
NGC 3277,Seyfert 2 Galaxy,11.68,158.23103508913,28.51174424471,1.317
MCG-02-27-009,Seyfert 2 Galaxy,14.33,158.86394274746,-14.12984088036,1.21
ESO 501-23,Emission-line galaxy,12.74,158.8475,-24.7533,3.31
NGC 3314,Emission-line galaxy,13.11,159.30384380073,-27.68398913652,1.237
NGC 3285,Galaxy towards a Group of Galaxies,12.08,158.39945217111,-27.45444600445,1.713
ESO 501-47,Galaxy towards a Cluster of Galaxies,13.49,159.3208,-27.4689,1.07
LEDA  31531,Galaxy towards a Cluster of Galaxies,13.11,159.3033,-27.6844,1.26
NGC 3312,LINER-type Active Galaxy Nucleus,13.96,159.26048564697,-27.5649789141,1.94
NGC 3308,Galaxy towards a Group of Galaxies,12.36,159.09308114107,-27.43814278475,1.22
NGC 3311,Brightest Galaxy in a Cluster (BCG),10.93,159.178421,-27.528339,3.8
NGC 3336,Emission-line galaxy,12.19,160.07083253135,-27.77702280228,1.167
NGC 3309,Galaxy towards a Group of Galaxies,11.78,159.14858629033,-27.51825897824,4.17
Spider,Galaxy,13.09,160.678279,34.449276,2.338
NGC 3395,Galaxy in Pair of Galaxies,12.1,162.4588167257,32.9828949551,1.103
NGC 3344,Emission-line galaxy,9.86,160.879792,24.922219,6.76
NGC 3367,Seyfert 1 Galaxy,11.5,161.64563684685,13.75085587708,1.487
UGC 5889,Galaxy in Pair of Galaxies,13.61,161.84333870733,14.07130480445,2.2
NGC 3377,Galaxy in Pair of Galaxies,10.38,161.926667,13.985639,4.17
NGC 3412,Galaxy towards a Group of Galaxies,10.54,162.72200148311,13.41214490691,2.333
M 96,Galaxy in Pair of Galaxies,9.25,161.6906,11.819939,7.24
M 105,LINER-type Active Galaxy Nucleus,9.76,161.956667,12.581631,5.13
M 95,Galaxy in Pair of Galaxies,9.73,160.99054728575,11.70369477537,7.08
NGC 3355,Galaxy,13.54,160.3579,-23.3842,1.7
NGC 3486,Seyfert 2 Galaxy,10.53,165.099775,28.974819,6.31
NGC 3504,LINER-type Active Galaxy Nucleus,12.93,165.7969,27.9726,1.857
NGC 3437,Emission-line galaxy,11.961,163.14897230905,22.9341344317,1.603
NGC 3489,Galaxy towards a Group of Galaxies,10.29,165.07728499781,13.90116838963,2.463
NGC 3512,Galaxy in Pair of Galaxies,12.87,166.01230843998,28.03677612142,1.03
NGC 3534,Emission-line galaxy,14.04,167.232042,26.610344,1.067
Z 126-111,Galaxy,12.0,168.36721,22.15281,6.1333
UGC 6151,Galaxy towards a Cluster of Galaxies,14.39,166.48455127655,19.82626534926,1.9
NGC 3648,Galaxy towards a Group of Galaxies,12.64,170.63127934268,39.8768760037,1.09
NGC 3665,Radio Galaxy,11.62,171.181792,38.762792,2.05
NGC 3646,Galaxy in Pair of Galaxies,11.13,170.42944970301,20.16956882886,2.057
[VV2006] J111654.8+180304,Quasar,12.76,169.2278,18.0517,4.68
NGC 3596,HII Galaxy,11.49,168.77586713729,14.78702338787,1.54
NGC 3655,Seyfert 2 Galaxy,11.904,170.72764869497,16.59006547225,1.24
